time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000006,-0.000006,-0.000896
0.010000,-0.000000,-0.000013,-0.000064,-0.003241
0.015000,-0.000001,-0.000034,-0.000225,-0.002537
0.020000,-0.000003,-0.000046,-0.000540,-0.006270
0.025000,-0.000007,-0.000082,-0.001037,-0.006058
0.030000,-0.000014,-0.000110,-0.001718,-0.006224
0.035000,-0.000025,-0.000146,-0.002570,-0.006299
0.040000,-0.000041,-0.000172,-0.003557,-0.006694
0.045000,-0.000062,-0.000212,-0.004651,-0.008049
0.050000,-0.000089,-0.000242,-0.005785,-0.006353
0.055000,-0.000121,-0.000288,-0.006902,-0.011009
0.060000,-0.000159,-0.000333,-0.007964,-0.013187
0.065000,-0.000202,-0.000411,-0.008953,-0.016843
0.070000,-0.000249,-0.000481,-0.009815,-0.016752
0.075000,-0.000300,-0.000577,-0.010507,-0.015650
0.080000,-0.000354,-0.000639,-0.011057,-0.013535
0.085000,-0.000411,-0.000722,-0.011433,-0.014722
0.090000,-0.000469,-0.000778,-0.011605,-0.014146
0.095000,-0.000527,-0.000867,-0.011608,-0.017003
0.100000,-0.000585,-0.000935,-0.011498,-0.017479
0.105000,-0.000642,-0.000131,-0.011319,-0.009172
0.110000,-0.000697,-0.000169,-0.011090,-0.010273
0.115000,-0.000752,-0.000239,-0.010832,-0.011808
0.120000,-0.000805,-0.000287,-0.010567,-0.012865
0.125000,-0.000857,-0.000358,-0.010286,-0.010195
0.130000,-0.000908,-0.000397,-0.009987,-0.009723
0.135000,-0.000957,-0.000450,-0.009655,-0.007985
0.140000,-0.001004,-0.000484,-0.009305,-0.009279
0.145000,-0.001050,-0.000540,-0.008943,-0.010510
0.150000,-0.001093,-0.000583,-0.008575,-0.010383
0.155000,-0.001135,-0.000649,-0.008198,-0.013385
0.160000,-0.001175,-0.000702,-0.007805,-0.013913
0.165000,-0.001213,-0.000782,-0.007401,-0.014144
0.170000,-0.001248,-0.000842,-0.006993,-0.017864
0.175000,-0.001282,-0.000954,-0.006571,-0.019237
0.180000,-0.001314,-0.001032,-0.006134,-0.019229
0.185000,-0.001343,-0.001139,-0.005718,-0.016999
0.190000,-0.001371,-0.001213,-0.005334,-0.019697
0.195000,-0.001396,-0.001331,-0.004969,-0.019319
0.200000,-0.001420,-0.001410,-0.004611,-0.018943
