time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000013,0.300030
0.010000,0.000025,0.300057
0.015000,0.000072,0.300105
0.020000,0.000109,0.300143
0.025000,0.000174,0.300210
0.030000,0.000235,0.300260
0.035000,0.000310,0.300344
0.040000,0.000353,0.300407
0.045000,0.000394,0.300509
0.050000,0.000431,0.300583
0.055000,0.000453,0.300704
0.060000,0.000482,0.300790
0.065000,0.000540,0.300928
0.070000,0.000566,0.301027
0.075000,0.000630,0.301183
0.080000,0.000675,0.301293
0.085000,0.000756,0.301468
0.090000,0.000837,0.301590
0.095000,0.001010,0.301782
0.100000,0.001142,0.301916
0.105000,0.003492,0.301644
0.110000,0.003786,0.301756
0.115000,0.004226,0.301930
0.120000,0.004530,0.302050
0.125000,0.004972,0.302237
0.130000,0.005258,0.302366
0.135000,0.005652,0.302567
0.140000,0.005903,0.302704
0.145000,0.006269,0.302918
0.150000,0.006512,0.303064
0.155000,0.006903,0.303290
0.160000,0.007164,0.303445
0.165000,0.007580,0.303685
0.170000,0.007871,0.303849
0.175000,0.008330,0.304101
0.180000,0.008671,0.304273
0.185000,0.009170,0.304538
0.190000,0.009482,0.304719
0.195000,0.009921,0.304997
0.200000,0.010195,0.305187
0.205000,0.005463,0.304466
0.210000,0.005544,0.304626
0.215000,0.005706,0.304871
0.220000,0.005837,0.305038
0.225000,0.006081,0.305293
0.230000,0.006258,0.305467
0.235000,0.006533,0.305732
0.240000,0.006729,0.305912
0.245000,0.007028,0.306188
0.250000,0.007255,0.306375
0.255000,0.007604,0.306660
0.260000,0.007848,0.306854
0.265000,0.008166,0.307150
0.270000,0.008381,0.307350
0.275000,0.008733,0.307656
0.280000,0.008989,0.307863
0.285000,0.009376,0.308179
0.290000,0.009633,0.308393
0.295000,0.010026,0.308718
0.300000,0.010273,0.308939
0.305000,0.020127,0.307840
0.310000,0.020459,0.308030
0.314999,0.020939,0.308320
0.319999,0.021275,0.308515
0.324999,0.021789,0.308813
0.329999,0.022125,0.309015
0.334999,0.022612,0.309321
0.339999,0.022938,0.309527
0.344999,0.023411,0.309842
0.349999,0.023732,0.310054
0.354999,0.024212,0.310376
0.359999,0.024523,0.310594
0.364999,0.024979,0.310924
0.369999,0.025255,0.311147
0.374999,0.025640,0.311486
0.379999,0.025901,0.311715
0.384999,0.026293,0.312061
0.389999,0.026578,0.312295
0.394998,0.026982,0.312650
0.399998,0.027227,0.312889
0.404998,0.030001,0.311495
0.409998,0.030255,0.311705
0.414998,0.030610,0.312024
0.419998,0.030846,0.312239
0.424998,0.031164,0.312565
0.429998,0.031370,0.312785
0.434998,0.031707,0.313118
0.439998,0.031941,0.313342
0.444998,0.032310,0.313682
0.449998,0.032561,0.313911
0.454998,0.032956,0.314258
0.459998,0.033246,0.314491
0.464998,0.033692,0.314844
0.469997,0.033989,0.315082
0.474997,0.034470,0.315443
0.479997,0.034802,0.315685
0.484997,0.035275,0.316052
0.489997,0.035581,0.316299
0.494997,0.036051,0.316673
0.499997,0.036369,0.316924
0.504997,0.020471,0.315299
0.509997,0.020647,0.315523
0.514997,0.020917,0.315863
0.519997,0.021075,0.316092
0.524997,0.021310,0.316437
0.529997,0.021475,0.316669
0.534997,0.021747,0.317021
0.539997,0.021929,0.317257
0.544997,0.022195,0.317614
0.549996,0.022374,0.317855
0.554996,0.022692,0.318218
0.559996,0.022937,0.318462
0.564996,0.023351,0.318831
0.569996,0.023627,0.319079
0.574996,0.024060,0.319454
0.579996,0.024342,0.319706
0.584996,0.024758,0.320086
0.589996,0.025049,0.320342
0.594996,0.025488,0.320728
0.599996,0.025760,0.320988
0.604996,0.051544,0.319182
0.609996,0.051986,0.319417
0.614996,0.052648,0.319771
0.619996,0.053093,0.320009
0.624996,0.053749,0.320368
0.629995,0.054205,0.320609
0.634995,0.054885,0.320974
0.639995,0.055346,0.321218
0.644995,0.056069,0.321588
0.649995,0.056546,0.321836
0.654995,0.057246,0.322211
0.659995,0.057706,0.322462
0.664995,0.058438,0.322842
0.669995,0.058910,0.323097
0.674995,0.059619,0.323482
0.679995,0.060112,0.323740
0.684995,0.060879,0.324130
0.689995,0.061386,0.324392
0.694995,0.062151,0.324787
0.699995,0.062670,0.325052
0.704994,0.053005,0.323103
0.709994,0.053458,0.323345
0.714994,0.054123,0.323709
0.719994,0.054571,0.323954
0.724994,0.055254,0.324323
0.729994,0.055680,0.324571
0.734994,0.056322,0.324944
0.739994,0.056746,0.325195
0.744994,0.057402,0.325573
0.749994,0.057832,0.325827
0.754994,0.058486,0.326210
0.759994,0.058915,0.326466
0.764994,0.059558,0.326854
0.769994,0.059975,0.327113
0.774994,0.060616,0.327505
0.779994,0.061024,0.327768
0.784993,0.061615,0.328164
0.789993,0.062013,0.328430
0.794993,0.062604,0.328831
0.799993,0.063024,0.329100
0.804993,0.031598,0.327036
0.809993,0.031800,0.327283
0.814993,0.032111,0.327655
0.819993,0.032320,0.327904
0.824993,0.032616,0.328281
0.829993,0.032795,0.328533
0.834993,0.033073,0.328913
0.839993,0.033263,0.329168
0.844993,0.033547,0.329552
0.849993,0.033728,0.329810
0.854993,0.033984,0.330199
0.859993,0.034146,0.330459
0.864992,0.034397,0.330851
0.869992,0.034553,0.331115
0.874992,0.034815,0.331511
0.879992,0.035004,0.331777
0.884992,0.035285,0.332178
0.889992,0.035475,0.332446
0.894992,0.035750,0.332851
0.899992,0.035951,0.333122
0.904992,0.031583,0.330966
0.909992,0.031728,0.331216
0.914992,0.031947,0.331594
0.919992,0.032103,0.331846
0.924992,0.032378,0.332228
0.929992,0.032582,0.332483
0.934992,0.032865,0.332868
0.939991,0.033061,0.333126
0.944991,0.033335,0.333515
0.949991,0.033511,0.333775
0.954991,0.033740,0.334167
0.959991,0.033922,0.334430
0.964991,0.034199,0.334826
0.969991,0.034364,0.335092
0.974991,0.034654,0.335491
0.979991,0.034838,0.335759
0.984991,0.035144,0.336163
0.989991,0.035355,0.336433
0.994991,0.035650,0.336840
0.999991,0.035854,0.337113
1.004991,0.057174,0.334881
1.009991,0.057459,0.335134
1.014991,0.057900,0.335515
1.019992,0.058187,0.335771
1.024992,0.058599,0.336155
1.029992,0.058875,0.336413
1.034992,0.059301,0.336801
1.039993,0.059597,0.337061
1.044993,0.060041,0.337453
1.049993,0.060330,0.337715
1.054993,0.060741,0.338110
1.059994,0.061027,0.338374
1.064994,0.061450,0.338773
1.069994,0.061740,0.339039
1.074994,0.062200,0.339441
1.079994,0.062521,0.339710
1.084995,0.063009,0.340115
1.089995,0.063339,0.340387
1.094995,0.063819,0.340795
1.099995,0.064127,0.341069
1.104996,0.065965,0.338775
1.109996,0.066249,0.339030
1.114996,0.066668,0.339414
1.119996,0.066962,0.339671
1.124997,0.067431,0.340058
1.129997,0.067750,0.340317
1.134997,0.068256,0.340707
1.139997,0.068585,0.340968
1.144997,0.069076,0.341362
1.149998,0.069421,0.341625
1.154998,0.069910,0.342021
1.159998,0.070220,0.342287
1.164998,0.070688,0.342687
1.169999,0.071001,0.342954
1.174999,0.071496,0.343357
1.179999,0.071827,0.343627
1.184999,0.072291,0.344033
1.190000,0.072614,0.344305
1.195000,0.073115,0.344714
1.200000,0.073458,0.344988
1.205000,0.056736,0.342643
1.210001,0.056967,0.342899
1.215001,0.057325,0.343285
1.220001,0.057567,0.343543
1.225001,0.057949,0.343931
1.230001,0.058180,0.344191
1.235002,0.058527,0.344583
1.240002,0.058770,0.344845
1.245002,0.059150,0.345239
1.250002,0.059401,0.345503
1.255003,0.059826,0.345900
1.260003,0.060110,0.346166
1.265003,0.060531,0.346567
1.270003,0.060827,0.346835
1.275004,0.061272,0.347238
1.280004,0.061570,0.347508
1.285004,0.061991,0.347914
1.290004,0.062257,0.348186
1.295004,0.062691,0.348595
1.300005,0.062971,0.348869
1.305005,0.045360,0.346483
1.310005,0.045542,0.346739
1.315005,0.045781,0.347126
1.320006,0.045916,0.347384
1.325006,0.046112,0.347773
1.330006,0.046238,0.348034
1.335006,0.046422,0.348426
1.340007,0.046551,0.348688
1.345007,0.046737,0.349083
1.350007,0.046877,0.349347
1.355007,0.047077,0.349745
1.360008,0.047237,0.350011
1.365008,0.047454,0.350411
1.370008,0.047570,0.350679
1.375008,0.047732,0.351082
1.380008,0.047810,0.351352
1.385009,0.047968,0.351758
1.390009,0.048061,0.352030
1.395009,0.048213,0.352438
1.400009,0.048317,0.352712
1.405010,0.025399,0.350291
1.410010,0.025403,0.350548
1.415010,0.025410,0.350935
1.420010,0.025427,0.351193
1.425011,0.025453,0.351582
1.430011,0.025470,0.351843
1.435011,0.025473,0.352235
1.440011,0.025480,0.352497
1.445011,0.025492,0.352892
1.450012,0.025507,0.353156
1.455012,0.025554,0.353553
1.460012,0.025612,0.353819
1.465012,0.025705,0.354219
1.470013,0.025771,0.354487
1.475013,0.025858,0.354889
1.480013,0.025911,0.355159
1.485013,0.026062,0.355564
1.490014,0.026192,0.355835
1.495014,0.026391,0.356243
1.500014,0.026524,0.356516
1.505014,0.026505,0.354067
1.510015,0.026506,0.354324
1.515015,0.026513,0.354710
1.520015,0.026532,0.354969
1.525015,0.026575,0.355358
1.530015,0.026595,0.355618
1.535016,0.026641,0.356010
1.540016,0.026715,0.356272
1.545016,0.026863,0.356666
1.550016,0.026980,0.356930
1.555017,0.027155,0.357326
1.560017,0.027277,0.357592
1.565017,0.027461,0.357991
