time, Quad.GPS.X
0.105000,-0.372314
0.205000,0.640031
0.305000,-0.736642
0.404998,0.869281
0.504997,0.180067
0.604996,-0.945438
0.704994,0.887755
0.804993,-0.259781
0.904992,-0.450494
1.004991,-1.571692
1.104996,-0.470595
1.205000,-0.521730
1.305005,0.253530
1.405010,0.472140
1.505014,-0.728316
1.605019,-0.304263
1.705024,0.691219
1.805028,0.977016
1.905033,-0.720065
2.005037,0.026025
2.105030,-0.246230
2.205023,0.657970
2.305015,0.154264
2.405008,0.268252
2.505001,-1.340651
2.604994,-0.122100
2.704986,-0.281295
2.804979,-0.170275
2.904972,-0.306002
3.004965,0.506069
3.104957,-1.532624
3.204950,0.509956
3.304943,-0.526515
3.404936,0.040028
3.504928,0.415680
3.604921,-0.276917
3.704914,0.223345
3.804907,-0.660142
3.904899,-0.184386
4.004892,-1.156689
4.104885,1.426523
4.204878,-0.401295
4.304871,-0.634558
4.404863,-0.234940
4.504856,0.091009
4.604849,1.096289
4.704842,0.314648
