time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073917
0.015000,0.523422
0.020000,-0.426282
0.025000,0.916848
0.030000,-0.295534
0.035000,0.183693
0.040000,-0.568142
0.045000,0.311370
0.050000,-1.084003
0.055000,0.002687
0.060000,0.413129
0.065000,-0.796675
0.070000,0.980148
0.075000,0.605927
0.080000,0.187367
0.085000,0.509158
0.090000,0.783008
0.095000,-0.017970
0.100000,0.857070
0.105000,1.076890
0.110000,0.338517
0.115000,0.074517
0.120000,-0.125980
0.125000,-0.085233
0.130000,-0.994903
0.135000,-0.059095
0.140000,0.071217
0.145000,0.410683
0.150000,0.242712
0.155000,-0.627255
0.160000,0.417345
0.165000,-0.104394
0.170000,0.282064
0.175000,0.846896
0.180000,0.024615
0.185000,-0.685322
0.190000,-0.715532
0.195000,-0.056123
0.200000,0.665014
0.205000,-0.690005
0.210000,-0.523195
0.215000,0.133958
0.220000,-0.765321
0.225000,-0.205980
0.230000,0.060645
0.235000,-0.317723
0.240000,-0.268309
0.245000,-0.551781
0.250000,-0.094883
0.255000,-0.698795
0.260000,0.185734
0.265000,-0.273534
0.270000,-0.410896
0.275000,-0.505627
0.280000,0.092678
0.285000,0.257750
0.290000,-0.513333
0.295000,-0.276350
0.300000,-0.022494
0.305000,-0.303327
0.310000,0.609382
0.314999,-0.010512
0.319999,0.540778
0.324999,0.529387
0.329999,0.603674
0.334999,-0.102976
0.339999,-0.261839
0.344999,-0.036830
0.349999,-0.618228
0.354999,-0.199986
0.359999,0.122152
0.364999,0.495196
0.369999,1.146788
0.374999,0.245599
0.379999,-0.197698
0.384999,-0.650085
0.389999,0.263332
0.394998,0.151618
0.399998,-0.043263
0.404998,-0.848467
0.409998,0.216439
0.414998,-0.244878
0.419998,0.420904
0.424998,0.082520
0.429998,-0.557480
0.434998,-0.335518
0.439998,-0.224342
0.444998,0.046056
0.449998,-0.993500
0.454998,-1.218547
0.459998,0.037384
0.464998,0.359106
0.469997,-0.563440
0.474997,-0.505861
0.479997,0.887789
0.484997,0.192351
0.489997,-0.620936
0.494997,-0.121667
0.499997,-0.272397
0.504997,0.330443
0.509997,-0.374105
0.514997,0.241247
0.519997,-0.076047
0.524997,0.043460
0.529997,-0.598915
0.534997,0.133309
0.539997,0.427807
0.544997,0.236296
0.549996,-0.575563
0.554996,0.095133
0.559996,-0.458323
0.564996,0.421757
0.569996,-0.851697
0.574996,-0.026868
0.579996,-0.059283
0.584996,-0.046622
0.589996,0.374858
0.594996,0.443486
0.599996,-0.965664
0.604996,0.063222
0.609996,-0.298699
0.614996,0.105964
0.619996,0.358806
0.624996,-0.259939
0.629995,0.505956
0.634995,0.094673
0.639995,-1.061133
0.644995,-0.098714
0.649995,0.311660
0.654995,0.627753
0.659995,-0.075048
0.664995,0.583545
0.669995,0.059273
0.674995,0.193952
0.679995,-0.601362
0.684995,0.057871
0.689995,0.026021
0.694995,0.588388
0.699995,0.586513
0.704994,-0.216265
0.709994,0.637986
0.714994,-0.243752
0.719994,-0.011766
0.724994,0.758967
0.729994,0.043575
0.734994,0.624755
0.739994,-0.676777
0.744994,0.626672
0.749994,-0.041629
0.754994,-0.207517
0.759994,0.239093
0.764994,0.397168
0.769994,-0.489211
0.774994,0.705539
0.779994,-0.125415
0.784993,-0.164548
